Unique ID,CG Number,E01,E12,E14,E15,E16,E17,E18,E20,A82,A84,A95,A131,A186,A377,A384,A398,avg_E,avg_A,log2FC,submitted_id,FBgn_ID
INC075E10,CG7951,1.24617,1.43377,1.504,1.3556,1.84436,1.72207,1.28589,1.57264,1.40226,1,1.29276,1.02525,1.93502,1.28351,1.41951,1.46763,1.4955625,1.3532425,-0.14426781,CG7951,FBgn0266411
INC084C05,CG7952,1.60366,1.73211,1.25199,1.45941,1.54579,1.54459,1.72604,1.78218,1.86418,1,1.25453,1.65456,1.23056,1.81438,1.29333,1.47118,1.58072125,1.44784,-0.1266808,CG7952,FBgn0001150
INC092E04,CG7953,2.10009,2.7849,2.09006,2.56155,1.62266,2.18318,1,1.4956,2.81846,2.86005,3.58489,2.4265,2.36172,2.0061,1.93577,2.67264,1.979755,2.58326625,0.383874442,CG7953,FBgn0028533
INC035B09,CG7954,1.10149,1.18794,1,1.16351,1.11194,1.38847,1.39098,1.13005,1.28492,1.00792,1.18433,1.34037,1.39275,1.34359,1.32773,1.51546,1.1842975,1.29963375,0.134073577,CG7954,FBgn0020249
INC075F01,CG7961,1.76254,1.35594,1.70644,1.89741,1.39557,1.23672,2.406,1.56294,1.68863,2.29336,1,1.66034,1.23378,1.41187,1.31053,1.42091,1.665445,1.5024275,-0.148612336,CG7961,FBgn0025725
INC084E07,CG7962,1.47457,1.3104,1.34937,1.4689,1.49832,1.23204,1.48301,1.40882,1.39358,1.34316,1.00074,1.43495,1,1.35146,1.26854,1.37382,1.40317875,1.27078125,-0.142983096,CG7962,FBgn0010350
INC018B09,CG7967,1.06169,1.37057,1.37338,1.37399,1.44211,1.472,1.14958,1.21597,1.17558,1.18181,1.13299,1.10113,1.42273,1.09803,1,1.13514,1.30741125,1.15592625,-0.177663662,CG7967,FBgn0035251
INC095H10,CG7968,1.6284,2.03655,1.241,1.94558,1.74739,1.01678,1,1.42912,1.938,1.61309,1.7364,1.96763,1.29714,1.68545,2.02549,1.68633,1.5056025,1.74369125,0.21180368,CG7968,FBgn0028532
INC152A03,CG7970,1.12781,1.46111,1.06242,1,1.26585,1.24558,1.45117,1.2601,1.61997,1.24529,1.15953,2.04852,1.47499,1.60248,1.24631,1.31404,1.234255,1.46389125,0.246167893,CG7970,FBgn0035252
INC015C03,CG7975,1.22478,1.24577,1.4647,1.45093,1.44318,1.23094,1.39539,1,1.43951,1.44694,1.81935,1.33113,1.33691,1.43617,1.37088,1.40021,1.30696125,1.4476375,0.147484018,CG7975,FBgn0034658
INC018D11,CG7977,1.09084,1.28806,1.15602,1.01963,1.23784,1.16277,1.06637,1.18941,1.05788,1.15,1.37827,1.02234,1.0728,1.00036,1,1.11122,1.1513675,1.09910875,-0.067014255,CG7977,FBgn0026372
